5.574394851380000305e+10	5.574394850159999847e+10	1.220000457763671875e+01
5.576978124809999847e+10	5.576978123180000305e+10	1.629999542236328125e+01
5.585377179380000305e+10	5.585377178919999695e+10	4.600006103515625000e+00
5.607234042419999695e+10	5.607234041250000000e+10	1.169999694824218750e+01
5.626752828369999695e+10	5.626752826709999847e+10	1.659999847412109375e+01
5.666837477809999847e+10	5.666837479340000153e+10	-1.530000305175781250e+01
5.676314041269999695e+10	5.676314042540000153e+10	-1.270000457763671875e+01
5.707320091600000000e+10	5.707320090050000000e+10	1.550000000000000000e+01
5.708485228400000000e+10	5.708485226009999847e+10	2.390000152587890625e+01
5.708916908219999695e+10	5.708916906150000000e+10	2.069999694824218750e+01
5.716470691490000153e+10	5.716470689859999847e+10	1.630000305175781250e+01
5.719758492369999695e+10	5.719758492850000000e+10	-4.800003051757812500e+00
5.753747235680000305e+10	5.753747233669999695e+10	2.010000610351562500e+01
5.758456489669999695e+10	5.758456490309999847e+10	-6.400001525878906250e+00
5.776672856769999695e+10	5.776672854890000153e+10	1.879999542236328125e+01
5.789015085490000153e+10	5.789015085359999847e+10	1.300003051757812500e+00
5.789850431330000305e+10	5.789850430069999695e+10	1.260000610351562500e+01
5.794201529200000000e+10	5.794201528890000153e+10	3.099998474121093750e+00
5.892885812980000305e+10	5.892885812330000305e+10	6.500000000000000000e+00
5.894574495900000000e+10	5.894574494359999847e+10	1.540000152587890625e+01
5.931819893080000305e+10	5.931819893600000000e+10	-5.199996948242187500e+00
6.022391131900000000e+10	6.022391132619999695e+10	-7.199996948242187500e+00
6.038894119659999847e+10	6.038894118290000153e+10	1.369999694824218750e+01
6.041780966959999847e+10	6.041780965930000305e+10	1.029999542236328125e+01
